Datum;Dan u tj.;Doručak;Kalorije (kcal);Ručak;Kalorije (kcal).1;Večera;Kalorije (kcal).2;Ukupno;Potrošio;Aktivnost;Kcal Potrošeno;Kg;;;;;
24.lip;SRI;2x sendvič (kobasica, pašteta) + ribice;950;Zabatci + pomfrit;1350;2x sendvič (kobasica, pašteta) ;750;3050;2000;;;;;;;;
25.lip;ČET;2x sendvič (kobasica, pašteta) ;1285;Hrenovke + riža;400;Brusketi + kulen;1390;3075;2000;;;;;;;;
26.lip;PET;2x sendvič (salama, sirić) + party mix;940;2,5x faširanca + mahune + kruh;870;2x sendvič (faširanac, sirić, ketchup);880;2690;2000;;;;;;;;
27.lip;SUB;2x sendvič (faširanac, sirić, ketchup);720;Kajgano + salama + pecivo;590;17x mini kiflica;1440;2750;2000;;;;;;;;
28.lip;NED;2x sendvič (salama, sirić, ketchup);620;Čobanac + kurh;775;2x sendvič (salama, sirić, ketchup);620;2015;2000;;;;;;;;
29.lip;PON;2x sendvič (salama, sirić, ketchup) + 3s topli send.;1460;Čobanac + tijesto;970;3x sendvič (pašteta);800;3230;2000;;;;;;;;
30.lip;UTO;2x sendvič (salama, sirić, ketchup) + 2x sendvič;1155;Roštiljke + vrhnje + kruh;730;2x sendvič (salama, sirić, ketchup);620;2505;2000;;;;;;;;
1.srp;SRI;3x sendvič (salama, sirić, ketchup);930;Burek od sira;700;2x trokut pizza + smoki (75g) + 2x sendvič;1540;3170;2000;;;;;;;;
2.srp;ČET;3x sendvič (salama, sirić, ketchup) + smoki (75g);1320;B. meso + pomfrit + crvena juha;1070;Pizza;1350;3740;2000;;;;;;;;
3.srp;PET;4x trokut pizza;1100;2x tanjura čili kon karne;960;Smoki + 2x sendvič (sirić, salama);1210;3270;2000;;;;;;;;
4.srp;SUB;2x sendvič (pikant pašteta, salama, ketchup);720;B.meso + pomfrit;1100;2x sendvič (b.meso + sir, ketchup);970;2790;2000;;;;;;;;
5.srp;NED;2x sendvič (pikant pašteta, salama, ketchup);720;12x Ćevapi + 2x lepinja;1355;2x sendvič (salama, sirić, ketchup) + smoki ;900;2975;2000;;;;;;;;
6.srp;PON;3x sendvič (salama, sirić, ketchup);930;Grah i svinj. Vrat + hrenovke (kruh i ketchup);1230;Smoki;415;2575;2000;;;;;;;;
7.srp;UTO;3x sendvič (salama, sirić, ketchup);930;Smoki + burek;1215;2x sendvič (salama, margo, sir);1000;3145;2000;;;;;;;;
8.srp;SRI;3x sendvič (salama, margo, sir);1500;B.meso + riža;490;ribice (50g) + 3x topli sendvič;1025;3015;2000;;;;;;;;
9.srp;ČET;3x kifle + malo salaane;725;1.5x tanjura krumpir tijesta;1100;1x tanjur krumpir tijesta 1x kifla;900;2725;2000;;;;;;;;
10.srp;PET;2x sendvič (salama, sirić, ketchup);1140;Zabatci i krumpir;955;Kruh (pašteta) + mlijeko;910;3005;2000;;;;;;;;
11.srp;SUB;4x šnite kruha (pašteta);480;Juha + kajgano + ribice;1130;9x kiflica + salama;1100;2710;2000;;;;;;;;
12.srp;NED;5x kiflica + salama;750;2x Faširanci + pire + šnita kruha;490;3x sendvič (faširanac, sirić, ketchup);1410;2650;2000;;;;;;;;
13.srp;PON;3x pohana kruha (salama);1015;Pizza;1350;2x sendvič (salama, sirić, ketchup);620;2985;2000;;;;;;;;
14.srp;UTO;2x sendvič (čajna, pašteta, ketchup) +2x banana;1000;3x ćufte + 3x šnite kruha;765;2s sendvič (ćufta, sirić);660;2425;2000;;;;;;;;
15.srp;SRI;2x sendvič (ćufta, sirić) +4x mini peciva;1230;B.meso + riža;590;5x peciva (pašteta);1025;2845;2000;;;;;;;;
16.srp;ČET;2x topli sendvič + banana;790;B.meso + kroketi;1080;Palačinke s ketchupom + štapići;760;2630;2000;;;;;;;;
17.srp;PET;3x topli sendvič;1200;3x mini kiflice + ćevapi + lepinja;1380;8x mini kiflice + čajna + palačinke;1360;3940;2000;;;;;;;;
18.srp;SUB;4x mini kiflice + čajna + 2x šnite kruha;1240;B.meso + riža + kikiriki;870;4x šnite kruha (b.meso, sirić, ketchup);720;2830;2000;;;;;;;;
19.srp;NED;2x sendvič + banana + smoki;1030;3x tortille;1485;2x tortille ;1090;3605;2000;;;;;;;;
20.srp;PON;2x sendvič (čajna, sirić, ketchup);680;3x tortille;1485;Banana + 2x topli sendvič + štapići;1105;3270;2000;;;;;;;;
21.srp;UTO;2x sendvič (čajna, sirić, ketchup);680;Zabatci + pire;775;3x sendvič (čajna, sirić, ketchup);1020;2475;2000;;;;;;;;
22.srp;SRI;2x sendvič (salama, sirić, ketchup);620;B.meso + kroketi + juha;1200;2x sendvič (salama, sirić, ketchup) + kroketi;780;2600;2000;;;;;;;;
23.srp;ČET;2x sendvič (salama, sirić, ketchup);620;B.meso + kroketi + kuglice;1410;3x sendvič (salama, sirić, ketchup) ;930;2960;2000;;;;;;;;
24.srp;PET;3x topla sendviča;1200;1x tanjur paprikaša;760;2x sendvič (salama, pašteta, ketchup) + kugl.;1170;3130;2000;;;;;;;;
25.srp;SUB;2x sendvič (salama, pašteta, ketchup) + šnita kruha;1250;1x tanjur graha + šnita kruha;625;2x šnite kruha (salama, pašteta, ketchup);830;2705;2000;;;;;;;;
26.srp;NED;2x sendvič (salama, sirić, ketchup);620;Mljeveno meso + krupmir;995;2x sendvič (mlj, meso, sirić, ketchup);660;2275;2000;;;;;;;;
27.srp;PON;2x trokut pizza + 1x sendvič;860;1.5 tanjur graha + 2x šnite kruha;950;2x sendvič (salama, sirić, ketchup);620;2430;2000;;;;;;;;
28.srp;UTO;2x sendvič (salama, sirić, ketchup) + ribice;890;Zabatci + riža + štapići + sendvič;920;2x sendvič (salama, sirić, ketchup);650;2460;2000;;;;;;;;
29.srp;SRI;4x šnite pohanog kruha + salama;1300;6x stromboli;1000;4x stromboli;600;2900;2000;;;;;;;;
30.srp;ČET;2x topli sendvič;850;2x stromboli + b.meso + pire + juha;1110;10x stromboli;1640;3600;2000;;;;;;;;
31.srp;PET;4x stromboli + ribice;935;b.meso + sir;850;2x sendvič + štapići + kuglice;1035;2820;2000;;;;;;;;
1.kol;SUB;2x trokut pizze;550;3x tanjur špageta ;1980;2x sendvič (kobasica, sirić);720;3250;2000;;;;;;;;
2.kol;NED;2x sendvič (kobasica, sirić, sir);920;Zabatci + pomfrit + ketchup ;1350;2x sendvič (kobasica, sirić);720;2990;2000;;;;;;;;
3.kol;PON;6x lisnato s nečim;860;Pureće b.meso + riža;600;2x sendvič (b.meso, sirić, ketchup) + 1x send.;1000;2460;2000;;;;;;;;
4.kol;UTO;2x sendvič (b.meso, sirić, ketchup);640;2x mahune s mljevenim;1290;Ribice + 2x sendvič + ribice;1440;3370;2000;;;;;;;;
5.kol;SRI;7x pužića + 3x šnita kruha (sirić, kobasica) + jogurt;1015;Smoki + kajgano sa šunkaricom + jogurt;1215;2x topla sendviča + jogurt + ribice;1215;3445;2000;;;;;;;;
6.kol;ČET;2x sendvič (šunkarica, sirić, ketchup);580;2x tanjura chilli con carne;1100;Čips + 1x tanjur chilli con carne;930;2610;2000;;;;;;;;
7.kol;PET;2x sendvič (šunkarica, sirić, ketchup) + palačinka;730;1x tanjur chilli con carne;825;5x komada pizze + 4x palačinke;1650;3205;2000;;;;;;;;
8.kol;SUB;2x sendvič (kulen, sirić, ketchup);720;Smoki +3x tortille;1825;2x tortille ;970;3515;2000;;;;;;;;
9.kol;NED;3x tortille ;1455;Malo b.mesa + pire;360;Smoki + 4x šnite krugha + krekeri;1280;3095;2000;;;;;;;;
10.kol;PON;4x šnite kruha (sirić, kulen);820;2x šnite kruha + jogurt;650;Zabatci + kroketi + jogurt + smoki;1120;2590;2000;;;;;;;;
11.kol;UTO;2x sendvič + jogurt + smoki;1225;Burek (b.meso);800;Smoki + 2x sendvič (sirić, salama, ketchup);890;2915;2000;;;;;;;;
12.kol;SRI;Burek (b.meso);800;Sendvič + krekeri;640;B. meso  + riža + 2x sendvič;1030;2470;2000;;;;;;;;
13.kol;ČET;4x sendvič (b. meso, sirić, kethup);1120;2x Ćufte + 2x kruha;510;2x ćufte sendvi + dovpek + kobasica;920;2550;2000;;;;;;;;
14.kol;PET;2x ćufte sendvič;550;2x Ćufte + 2x kruha + 2x šnite kruha ;840;pomfrit + kuglice + 2x sendvič;1380;2770;2000;;;;;;;;
15.kol;SUB;2x sendvič (sirić, salama, ketchup) + kuglice;840;Kobasica + vrhnje + 2x šnite kruha + 1/2 tuc;1090;2s sendvič + petit + mlijeko + 1/2 tuc;990;2920;2000;;;;;;;;
16.kol;NED;Pohani kruh + salama;1250;B. meso + pire + 4x kiflice;1210;Sendvič (b.meso, sirić, ketchup) + 7x kiflica;1185;3645;2000;;;;;;;;
17.kol;PON;2x sendvič (sirić, salama, ketchup) + 2x kiflice;870;2x sendvič (b.meso, sirić, ketchup) + 2x kiflice;1030;3x šnite kruha (salama, sirić, ketchup);780;2680;2000;;;;;;;;
18.kol;UTO;2x perec + pašteta;760;2x cedevita + pizza;1470;/;0;2230;2000;;;;;;;;
19.kol;SRI;3 lepinjice + kuglice;990;1x tanjur krumpir-tijesta;660;2x sendvič + 0.5x tanjura krumpir-tijesta;950;2600;2000;;;;;;;;
20.kol;ČET;2x sendvič + topli sendvič + pola čaše mlijeka;1085;4x petit + 3x pohano b.meso + ketchup;910;2x sendvič (b.meso, sirić, ketchup) + 1/2 tuc;860;2855;2000;;;;;;;;
21.kol;PET;2x sendvič (b.meso, sirić, ketchup) + 4x petit;1350;B.meso + vrhnje + 2x šnite kruha;785;Krekeri (50g) + 2x sendvič + Krekeri (50g);1110;3245;2000;;;;;;;;
22.kol;SUB;2x sendvič (sirić, salama, ketchup) + krekeri (60g);920;2x mahune s mljevenim;1150;2x sendvič + 2x sendvič + party mix (60g);1440;3510;2000;;;;;;;;
23.kol;NED;2x sendvič (sirić, čajna, ketchup);620;4x faširanca + pire;900;2x sendvič + party mix (60g);860;2380;2000;;;;;;;;
24.kol;PON;5x šnita kruha (s.p.č.k) + party mix (60g);1190;Kroketi + mljeveno + party mix (60g);1030;2x sendvič (sirić, salama, ketchup);620;2840;2000;;;;;;;;
25.kol;UTO;2x sendvič + 1x topli sendvič;1040;b.meso s rajčicom + riža;610;2x sendvič (sir, b.meso, kroket, ketchup);1000;2650;2000;;;;;;;;
26.kol;SRI;2x topli sendvič + 1x sendvič;1120;Varivo s kobasicom + 3x šnite kruha;750;2x sendvič + pecivo sa sirom;920;2790;2000;;;;;;;;
27.kol;ČET;3x sendvič (sirić, salama, ketchup);930;1x peciva sa margom;400;Pizza;1350;2680;2000;;;;;;;;
28.kol;PET;6x komada pizza kruha;1200;1.5x tanjur špageta;1020;4x komada jumbo pizze;840;3060;2000;;;;;;;;
29.kol;SUB;1x pecivo (sir) + vrhnje;570;Juha + b. meso + vrhnje;895;1x pecivo + 2x tost sa sirom;990;2455;2000;;;;;;;;
30.kol;NED;3x sendvič (salama, sirić, ketchup);930;Crvena juha + krumpir + svinjski but + kruh;740;4x sendvič (salama, sirić, ketchup);1240;2910;2000;;;;;;;;
31.kol;PON;2x sendvič (salama, sirić, ketchup);620;Kukurzni muffin + kajgano + pecivo;840;2x sendvič (salama, sirić, ketchup) +2x šnite;1090;2550;2000;;;;;;;;
1.ruj;UTO;3x kifle sa salamom + 2x kiflice;1150;Kobasica + krumpir-tijesto;925;čips + kokice;800;2875;2000;;;;;;;;
2.ruj;SRI;2.5 kifle +2x sendvič (čajna, sirić, ketchup);995;Burek + jogurt + 0.5x tanjura krumpir-tijesta;1350;2x sendvič (čajna, pašteta, ketchup);700;3045;2000;;;;;;;;
3.ruj;ČET;2x sendvič (čajna, sirić, ketchup) + 1x sendvič;930;Kuglice + b.meso + riža + kruh;990;Kuglice + 2x sendvič (salama, sirić sir);960;2880;2000;;;;;;;;
4.ruj;PET;3x šnite kruha (salama, sirić, ketchup) + kuglice;880;Zabatci (otkošteni) + kroketi;890;3x kroketi + 5 brusketa (na kruhu);1555;3325;2000;;;;;;;;
5.ruj;SUB;3x šnite kruha (salama, pašteta, ketchup) ;660;Pizza (sekundarni sastojci);1450;2x topli sendvič + kuglice;1020;3130;2000;;;;;;;;
6.ruj;NED;2x sendvič (salama, sirić, ketchup) + kuglice;850;Pizza (od jučer) + kuglice;1260;2x sendvič (sal, sirić/margo, ketch) + banana;840;2950;2000;;;;;;;;
7.ruj;PON;2x + 2x sendvič (salama, sirić, ketchup);1240;2x Faširanci + grašak + 1/2 tuc;800;2x sendvič (faširanac, sirić, ketch.) + smoki;980;3020;2000;;;;;;;;
8.ruj;UTO;1x sendvič (faširanac, sirić, ketch.;370;Kajgano + faširanac + pecivo (+ malo sirića);690;Kobasica + vrhnje + kruh + 2x send. + smoki;1795;2855;2000;;;;;;;;
9.ruj;SRI;2x sendvič (salama, sirić, ketchup) + 1/2 tuc;860;1x tanjur gulaša  + 1/2 tuc;860;2x + 1x sendvič (salama, sirić, ketch./m.luk);930;2650;2000;;;;;;;;
10.ruj;ČET;3x sendvič (salama, sirić, ketchup, m.luk);1020;1x tanjur gulaša + šnita kruha + 1/2 tuc;815;3x sendvič (salama, sirić, ketchup, m.luk);930;2765;2000;;;;;;;;
11.ruj;PET;5x šnita kruha (salama, siirć, m. luk) ;990;smoki + tanjur graha + 2 šnite kruha;760;2x topli sendvič + smoki;1140;2890;2000;;;;;;;;
12.ruj;SUB;2x slanca (sirić, salama, ketchup) + 1x slanac;845;B.meso + ketchup + 3x šnite kruha;740;jogurt + 2x topla sendviča + 1/2 tuc;1465;3050;2000;;;;;;;;
13.ruj;NED;2x troukut pizza + 1/2 tuc  + 1x sendvič;1030;B. meso (na kockice) + pire + juha;800;1/2 tuc + jogurt + kokice;1060;2890;2000;;;;;;;;
14.ruj;PON;2x sendvič (sirić, b.meso, ketchup);680;B. meso + korketi;985;1/2 tuc + 2x slanca (pašteta) + kokice;1430;3095;2000;;;;;;;;
15.ruj;UTO;2x sendvič (sirić, salama, ketchup);620;BBQ piletina + riža + juha;930;2x sendvič (margo, BBQ, ketch) + 1/2 tuc;960;2510;2000;;;;;;;;
16.ruj;SRI;1x velika kifla (pašteta, salama, ketchup) + kokice;1265;2x tanjura špageta;1320;2x sendvič (sirić, salama, ketchup);620;3205;2000;;;;;;;;
17.ruj;ČET;2x sendvič (sirić, salama, ketchup);620;1/2x kobasica + pire + kruh;510;9x plazma + mlijeko + 2x sendvič + smoki;1300;2430;2000;;;;;;;;
18.ruj;PET;2x sendvič (sirić, salama, ketchup) + smoki;860;Pohani zabatci + grašak + pecivo;810;2x sendvič (sirić, salama, ketchup) + kokice;860;2530;2000;;;;;;;;
19.ruj;SUB;2x sendvič (sirić, salama, ketchup);620;Pohani zabatak + riža + pecivo;625;10x kiflica + sir + kobasica + šunkarica;1690;2935;2000;;;;;;;;
20.ruj;NED;2x peciva (pašteta);550;2x tanjura paprikaša;1320;2x peciva + vic krekeri;1010;2880;2000;;;;;;;;
21.ruj;PON;Pohani kruh + salama;1000;1.5x tanjur paprikaša (19:30);990;2x sendvič (s.s.k) + kuglice;750;2740;2000;;;;;;;;
22.ruj;UTO;2x sendvič (s.s.k) + vic krekeri;1010;1.5x tanjur krumpir-tijesta;900;2x sendvič (s.s.k) + malo krumpir-tijesta;1020;2930;2000;;;;;;;;
23.ruj;SRI;2x sendvič (s.s.k) + 1/2 tuc;960;3x pohana b. meso + ketchup;840;1/2 tuc + 2x sendvič (s.s.k) + kikiriki;1210;3010;2000;;;;;;;;
24.ruj;ČET;2x sendvič (s.s.k);620;2x sendvič (b.meso, sirić, ketchup);720;2x +2x sendvič (b.m.s.k) + vic krek.;1730;3070;2000;;;;;;;;
25.ruj;PET;3x kifle (s.s.k) + 2x kifla;1105;1x šnicla od kruha + vrhnje + kifla;625;3x kifle (s.s.k) + 2x kifla + jabuka;1195;2925;2000;;;;;;;;
26.ruj;SUB;3x sendvič (s.s.k);930;Zabattci (otkošteni) + ketchup + pecivo;720;1x send. (z.s.k) + 2x send. (s.s.k) + čaj + jab.;1190;2840;2000;;;;;;;;
27.ruj;NED;3x sendvič (s.s.k);930;Juha + BBQ piletina + pire;1250;2x sendvič (sirić, salama) + jabuka;820;3000;2000;;;;;;;;
28.ruj;PON;3x topla sendviča (margo, salama) + petit keksi;1220;Burek (sir);700;2x +1x sendvič (s.s.k);930;2850;2000;;;;;;;;
29.ruj;UTO;3x sendviča (s.s.k);930;juha + 2x faširanca + riža;670;2x sendvič (faširanac, sirić, ketchup);740;2340;2000;;;;;;;;
30.ruj;SRI;3x sendviča (s.s.k);930;tanjur graha + 3x šnite kurha;575;3x kiflice (faširanci) + 3x kiflice;930;2435;2000;;;;;;;;
1.lis;ČET;2x kiflice (faširanci) + 2x kiflice;620;2x tanjura graha s tijestom;1240;2x sendviča (s.s.k);620;2480;2000;;;;;;;;
2.lis;PET;2x topla sendviča + 1/2 tuc;890;B.meso u soja sosu + kroketi;965;12x mini pereci;720;2575;2000;;;;;;;;
3.lis;SUB;2x topla sendviča + 4x mini pereca;1070;Pizza;1350;2x sendviča (s.s.k);620;3040;2000;;;;;;;;
4.lis;NED;2x sendvič (č.s.k);620;Komad svinjskog vrata + pire + kruh;620;2x sendvič (č.s.k) + 2x sendvič (s.s.k);1240;2480;2000;;;;;;;;
5.lis;PON;2x topla sendviča + 2x sendvič (s.s.k);1420;Musaka od poriluka;480;2x sendvič (č.s.k);620;2520;2000;;;;;;;;
6.lis;UTO;2x sendvič (č.s.k) +2x peciva (pašteta);1125;B.meso + riža s graškom;600;jogurt + 2x topla sendviča + kokice;1540;3265;2000;;;;;;;;
7.lis;SRI;1x sendvič (b.m.s.k) + kokice;870;B.meso + ketchup + 2x šnite kruha + jogurt;1005;3x šnite kruha (pašteta);525;2400;2000;;;;;;;;
8.lis;ČET;2x topli sendvič + 2x sendvič (s.p.k);1320;Jogurt + kajgano sa salamom + kruh;840;2x sendvič (k.s.k.) + kokice;1090;3250;2000;;;;;;;;
9.lis;PET;2x peciva (pašteta) + kuglice;870;1,5x tanjur granatira;990;2x sendvič (č.s.k);650;2510;2000;;;;;;;;
10.lis;SUB;2x trokut pizze + 4x kifle;980;3x poh. b.mesa u kronfleksu + riža + juha;900;malo granatira + 2x sendviča (b.m.s.k);1210;3090;2000;;;;;;;;
11.lis;NED;2x sendviča (s.s.l.k);680;3x tortille;1455;2x tortille ;970;3105;2000;;;;;;;;
12.lis;PON;2x sendviča (s.s.l.k);680;3x tortille;1455;1x lepinja (s.s.k) + 1/2 tuc;920;3055;2000;;;;;;;;
13.lis;UTO;2x sendviča (kobasica, sirić);680;BBQ piletina + kroketi;1140;2x sendvič (pašteta, kobasica);800;2620;2000;;;;;;;;
14.lis;SRI;2x sendvič (s.s.k) + kuglice;880;Kajgano sa salamom + 3x lepinjice;840;8x kfilica + salama;1200;2920;2000;;;;;;;;
15.lis;ČET;6x kiflice;750;Burek + jogurt;910;4x komada jumbo pizze;800;2460;2000;;;;;;;;
16.lis;PET;Ostaci bureka + 2x trokut pizze;880;Pohano b.meso + ketchup;720;2x sendvič (b.m.s.k);700;2300;2000;;;;;;;;
17.lis;SUB;3x sendvič (salama, pašteta);975;5x palačinke s ketchupom;830;4x komada jumbo pizze;800;2605;2000;;;;;;;;
18.lis;NED;2x sendvič (čajna, sirić);560;Pizza;1550;/;0;2110;2000;;;;;;;;
19.lis;PON;2x sendvič (čajna, sirić);560;2x tanjura paprikaša;1320;2x sendvič (čajna, sirić);560;2440;2000;;;;;;;;
20.lis;UTO;2x sendvič (čajna/salama, sirić);590;1/2 cijelog strombola;800;1/2 cijelog strombola;800;2190;2000;;;;;;;;
21.lis;SRI;2x sendviča (s.s.k) + 8 petita;960;1,5x tanjura špageta;990;1x tanjur špageta;1320;3270;2000;;;;;;;;
22.lis;ČET;1x štapić + 3x punjene kiflice;825;Bombay masala (piletina, riža, krumpir);660;2x punjene kiflice + 2x štapića (pašteta);1085;2570;2000;;;;;;;;
23.lis;PET;2x sendviča (s.s.k) ;680;restani krumpir + b. meso u kronfleksu;780;2x sendvič (b.m.s.k) + kokice;1130;2590;2000;;;;;;;;
24.lis;SUB;4x mala hot doga;840;2x hrenovke + sos + malo pirea;480;2x sendvič (s.s.k);620;1940;2000;;;;;;;;
25.lis;NED;2x topla sendviča + mali hot dog;1045;B. meso iz rerne + 2x kroketa;800;2x sendvič (s.s.k) + kuglice + 1x send. (s.s.k);1190;3035;2000;;;;;;;;
26.lis;PON;2x sendvič (s.s.k) + 1x kifla;820; 2x t. send. + kugl. + b.m. + ketch. + 3x kruh;1455;2x sendvič (s.s.k) + smoki;1060;3335;2000;;;;;;;;
27.lis;UTO;2x sendvič (s.s.k) + 2x sendvič (s.s.k);1240;smoki + b.meso na kockice + riža s graškom;990;2x sendvič (s.s.k);620;2850;2000;;;;;;;;
28.lis;SRI;2x sendvič (b.m.s.k) + smoki + banana;1270;3x pohana kruh (pizze);975;2x sendvič (s.s.k);620;2865;2000;;;;;;;;
29.lis;ČET;2x sendvič (s.s.k) + 2x sendvič (s.s.k);1335;2x komada bureka;1100;2x sendvič (s.s.k);620;3055;2000;;;;;;;;
30.lis;PET;Komad bureka + 2x sendvič (s.s.k);1170;tanjur graha + 1,5x velika šnita kruha;550;1x veliki sendvič (p.s.k) + kokice;1000;2720;2000;;;;;;;;
31.lis;SUB;5x kiflica (sir) + malo salame;1200;3/4 pizze;1020;2x topla sendviča + čips;1010;3230;2000;;;;;;;;
1.stu;NED;8 komada pohanog kruha + salama;1000;zabatci + 2x lepinjice + ketchup;740;2x kiflice;400;2140;2000;;;;;;;;
2.stu;PON;2x sendvič (p.s.k) + štapići;985;2x tanjura graha s tijestom;1320;3x komada jumbo pizze;600;2905;2000;;;;;;;;
3.stu;UTO;2x sendvič (s.s.k) + 2x sendvič (s.s.k);1240;B.meso na grillu + pire;660;2x topli sendviča + 2x sendviča (b.m.s.k);1480;3380;2000;;;;;;;;
4.stu;SRI;8 kiflica + kulenova seka;1240;1x porcija lazanja;640;1x porcija lazanja;640;2520;2000;;;;;;;;
5.stu;ČET;2x sendvič (s.s.k);620;2x kobasice + 2x d. kroketa + 1x sendvič;1265;Čips;765;2650;2000;;;;;;;;
6.stu;PET;2x sendvič (p.k.k) + kiflica + musli;1170;B. meso na kockie + riža;750;2x sendvič (b.m.s.k);720;2640;2000;;;;;;;;
7.stu;SUB;1x sendvič (b.m.s.k) + 4x kiflice + 1x kiflica;985;Paprikaš + 2x šnite kruha;660;9x kiflica + pašteta + mladi luk;1395;3040;2000;;;;;;;;
8.stu;NED;2x peciva (pašteta, maldi luk) + 1/2 tuc;850;Pizza;1350;2x šnite kruha (šunkarica, siirć, ketchup);500;2700;2000;;;;;;;;
9.stu;PON;2x sendvič (š.s.k);560;2x faširanca + vrhnje + 3x šnite kurha;680;2x sendvič (f.s.k.m.l) + 2x sendvič (f.s.k);1710;2950;2000;;;;;;;;
10.stu;UTO;2x sendvič (š.s.k);560;5x lisnato s hrenovkom + 3x lisnato s h.;1760;2x sendvč (s.s.k);620;2940;2000;;;;;;;;
11.stu;SRI;2x sendvič (s.s.k) + musli;920;2x komada svinjetine + pire;650;3x sendvič (p.s.k) + sok od naranče + p. mix;1490;3060;2000;;;;;;;;
12.stu;ČET;2x sendvič (s.s.k);620;B.meso na grillu + riža;570;2x sendvič (b.m.s.k) + pecivo (pašteta);950;2140;2000;;;;;;;;
13.stu;PET;2x peciva (pašteta) + 1x sendvič (b.m.s.k);900;1x komad bureka sa sirom + jogurt;820;2x sendvič (p.s.k) 2x sendvič (p.s.k);1450;3170;2000;;;;;;;;
14.stu;SUB;2x sendvič (k.s.k. čili sir);740;2x hamburgera;1270;Štapići + 2x sendvič (k.s.k.č.s) + 2x send.;1780;3790;2000;;;;;;;;
15.stu;NED;2x sendvič (k.s.k. čili sir);740;Zabatci + krumpiri (paprificirani);780;2x sendvič (s.m.s) + 2x sendvič (s.m.s);1600;3120;2000;;;;;;;;
16.stu;PON;2x topli sendvič + 2x kifllice;1200;2x sendvič (b.m.s.k.s);1040;2x sendvič (s.s.s) + 1s kiflica;900;3140;2000;;;;;;;;
17.stu;UTO;2x sendvič (s.s.k) + 2x šnite kurha (pašteta);895;1x kobasica + grašak + 3 šnite kruha;750;6x forneta + 2x topla sendviča ;1200;2845;2000;;;;;;;;
18.stu;SRI;2x sendvič (s.s.k);620;Pureća štruca + krumpiri (paprificirani);1050;2x sendvič (p.s.k) + 1x tuc;1180;2850;2000;;;;;;;;
19.stu;ČET;2x sendvič (s.s.k) + 2x sendvič (pašteta);1170;1x tanjur krumpir-tijesta;660;1x tanjur krumpir-tijesta;660;2490;2000;;;;;;;;
20.stu;PET;2x sendvič (s.s.k);620;2x pljeskavice + riža s porilukom + 2x š. kruha;1000;2x sendvič (s.s.k);620;2240;2000;;;;;;;;
21.stu;SUB;Pohani kruh + salama;1280;Malo variva s mesom + 2x šnite kruha;400;2x sendvič (s.s.k)+2x sendvič (s.s.k);1240;2920;2000;;;;;;;;
22.stu;NED;2x sendvič (s.s.k);620;3x tortille;1455;3x tortille + 1x sendvič (s.s.k);1765;3840;2000;;;;;;;;
23.stu;PON;2x tortile + 2x sendvič (s.s.k);1590;Burek;800;Kokice + 2x sendvič (s.s.k);1100;3490;2000;;;;;;;;
24.stu;UTO;2x sendvič (s.s.k) + 2x sendvič (s.s.k);1240;Pohani sendviči;940;3x mala sendviča (s.m.s);825;3005;2000;;;;;;;;
25.stu;SRI;3x mala sendviča (s.m.s) + 1/2 tuc;1065;2x pohano b. meso + pire + 2x lepinjica;980;2x sendvič (b.m.s.k);700;2745;2000;;;;;;;;
26.stu;ČET;2x sendvič (s.s.k) + 2x sendvič (s.s.k) + 7x petit;1485;1x tanjur špageta;660;1x veliki tanjur špageta + 2x sendvič (s.s.k);1500;3645;2000;;;;;;;;
27.stu;PET;2x sendvič (s.s.k) + čaša mlijeka;770;Komad kobasice + pire + 2x šnite kruha;710;2x sendvič (s.s.k) + 2x sendvič (s.s.k) + milk;1390;2870;2000;;;;;;;;
28.stu;SUB;2x čaša mlijeka;250;Pizza ;1350;2x sendvič (s.s.k);620;2220;2000;;;;;;;;
29.stu;NED;2x sendvič (s.s.k) + čaj;660;2x pohano b. meso + riža;760;2x sendvič (b.m.s.k) + čaj + 2x send. (b.m.s.k);1440;2860;2000;;;;;;;;
